앉기	Sit
칼 꽂기	Stab
지금은 칼을 꽂을 수 없습니다	You can't stab right now
다른 테이블의 통은 건드릴 수 없습니다	That barrel belongs to another table
이번 라운드 참가자가 아닙니다	You're not in this round
아직 내 차례가 아닙니다	It's not your turn yet
이미 탈락했습니다	You're already out
없는 자리입니다	That slot doesn't exist
이미 칼이 꽂힌 자리입니다	That slot already has a knife
너무 빠릅니다	Too fast
아직 가지고 있지 않은 스킨입니다	You don't own that skin yet
코인이 모자랍니다	Not enough coins
이미 가지고 있습니다	You already own this
로벅스로만 살 수 있습니다	Robux only
방해할 상대가 없습니다	No one to sabotage
아직 다시 쓸 수 없습니다	Not ready yet
VIP 패스 전용입니다	VIP Pass only
스타터 팩 전용입니다	Starter Pack only
시즌 보상으로만 받을 수 있습니다	Season reward only
오늘은 이미 받았습니다	Already claimed today
돌릴 수 있는 룰렛이 없습니다	No spins left
이 지역에서는 룰렛 이용권을 살 수 없습니다	Spin tickets can't be bought in your region
승리	Wins
연승	Streak
금화 주머니	Coin Pouch
보물 상자	Treasure Chest
크라켄의 보물	Kraken's Hoard
기본	Common
희귀	Rare
영웅	Epic
전설	Legendary
낡은 단검	Rusty Dagger
뼈칼	Bone Knife
선장의 금검	Captain's Gold Blade
저주받은 칼날	Cursed Edge
잿불 단검	Ember Dagger
심해의 작살	Deep Sea Harpoon
선원의 갈고리	Sailor's Hook
VIP 선장의 곡도	VIP Captain's Cutlass
참나무 통	Oak Barrel
기름 드럼통	Oil Drum
폐유 드럼통	Scrap Oil Drum
김치통	Kimchi Jar
심연의 통	Abyss Barrel
화산의 통	Volcano Barrel
유빙의 통	Ice Floe Barrel
저주받은 선장	Cursed Captain
해골 선장	Skeleton Captain
크라켄	Kraken
좀비 요리사	Zombie Cook
잿불 망령	Ember Wraith
심해의 인어	Deep Sea Siren
공허의 왕	Void King
기본 찌르기	Basic Stab
내려찍기	Overhead Slam
세 번 찌르기	Triple Stab
회전 베기	Spin Slash
단검 저글링	Dagger Juggle
잿불 강타	Ember Smash
용의 급강하	Dragon Dive
폭풍의 일격	Storm Strike
먹물 한 통	Ink Bucket
상대 화면을 먹물로 덮습니다	Splashes ink over a rival's screen
다음 6초 동안 상대 화면 가장자리가 먹물로 얼룩집니다. 자리 번호는 계속 읽을 수 있습니다.	For 6 seconds the edges of the rival's screen get inked. Slot numbers stay readable.
흔들리는 손	Shaky Hands
상대의 자리 버튼이 흔들립니다	A rival's slot buttons wobble
상대의 칼 선택 버튼이 7초 동안 좌우로 흔들립니다. 누를 수는 있지만 조준이 어려워집니다.	The rival's slot buttons wobble for 7 seconds. Still clickable, just harder to aim.
저주의 재촉	Cursed Hurry
상대의 다음 턴이 짧아집니다	A rival's next turn is shorter
상대의 다음 턴 제한시간이 40% 줄어듭니다. 시간이 끝나면 서버가 대신 골라 줍니다.	The rival's next turn timer is 40% shorter. If time runs out, the server picks for them.
뒤섞인 번호	Scrambled Numbers
상대 화면의 자리 번호가 뒤섞입니다	Shuffles slot numbers on a rival's screen
상대 화면에서만 버튼 위 숫자가 뒤섞입니다. 누른 자리는 화면에 보이는 그 자리가 맞습니다. (엉뚱한 곳에 꽂히지는 않습니다)	Only the numbers on the rival's buttons are shuffled. The slot they press is the one they see (no misfires).
해적의 포효	Pirate's Roar
상대 앞에 가짜 해적이 튀어나옵니다	A fake pirate jumps at a rival
상대 화면에만 가짜 해적이 한 번 튀어나옵니다. 잡기 창은 열리지 않고 판정에도 영향이 없습니다.	A fake pirate pops out on the rival's screen once. No catch window opens and results aren't affected.
코인 1,000	1,000 Coins
코인 5,500	5,500 Coins
인기 · +39%	Popular · +39%
코인 12,000	12,000 Coins
최고 가치 · +50%	Best value · +50%
선원 스타터 팩	Sailor Starter Pack
코인 2,500 + 전용 칼 「선원의 갈고리」 · 계정당 한 번	2,500 coins + exclusive knife "Sailor's Hook" · once per account
VIP 선장 패스	VIP Captain Pass
게임 코인 +20% · 전용 칼 「VIP 선장의 곡도」 · 머리 위 VIP 표시	+20% game coins · exclusive knife "VIP Captain's Cutlass" · VIP tag over your head
현상금 부스터	Bounty Booster
내가 이긴 판의 현상금 +10% · 금화가 더 크게 쏟아지는 승리 연출	+10% bounty on rounds you win · bigger gold shower when you win
3판 참가하기	Play 3 rounds
1판 우승하기	Win 1 round
해적 5번 잡기	Catch 5 pirates
안전한 자리 12번 뽑기	Pick 12 safe slots
2인 테이블에서 2판 하기	Play 2 rounds at a 2-player table
6인 테이블에서 1판 하기	Play 1 round at a 6-player table
2연승 만들기	Win 2 in a row
배짱으로 3번 더 찌르고 살아남기	Survive 3 bonus stabs
해적을 완벽하게 2번 잡기	Make 2 perfect catches
